iter	Accuracy	Logloss
581	0.8786123447	0.2776375611
582	0.8785801635	0.2774941409
583	0.8784836197	0.2773585569
584	0.878387076	0.2772853902
585	0.8785479822	0.2771505087
586	0.8786767072	0.2770796748
587	0.8787088885	0.2770573814
588	0.8790950634	0.2769532923
589	0.8789663384	0.2768823992
590	0.8789341572	0.2768203367
591	0.8790950634	0.2768009186
592	0.8791916071	0.2767473242
593	0.8791916071	0.2766469684
594	0.8791916071	0.2766216298
595	0.8791594259	0.2765539523
596	0.8792237884	0.2764448232
597	0.8792881509	0.2763300498
598	0.8792881509	0.2761461601
599	0.8793525134	0.276043087
600	0.8792881509	0.2759848126
601	0.8794490571	0.2759050654
602	0.8795456008	0.275866261
603	0.8796099633	0.275828524
604	0.8796421446	0.275793142
605	0.8798030508	0.2756928992
606	0.8798674133	0.2756682261
607	0.8801570445	0.2755867514
608	0.8801892257	0.2755072301
609	0.8801248632	0.2754140406
610	0.8802535882	0.2753117402
611	0.8803823132	0.2751924303
612	0.8804788569	0.275117149
613	0.8804788569	0.2751001008
614	0.8804788569	0.2750548086
615	0.8806719444	0.27495709
616	0.8808650319	0.2748966447
617	0.8810259381	0.2747892184
618	0.8810259381	0.2747770283
619	0.8811224818	0.2745986672
620	0.8811868443	0.2745561559
621	0.8812190256	0.274498719
622	0.8812190256	0.2744488701
623	0.8812190256	0.2744483665
624	0.8812512068	0.274394112
625	0.8813155693	0.2743368289
626	0.8813799318	0.2742910877
627	0.8814442943	0.2742459241
628	0.881540838	0.274116793
629	0.8815086568	0.2740472324
630	0.881412113	0.2740121185
631	0.8814442943	0.2739289564
632	0.8814442943	0.2739272378
633	0.8816373817	0.2738003848
634	0.8817017442	0.2737850928
635	0.8816373817	0.2737382291
636	0.8817339255	0.2736468186
637	0.8817017442	0.2736182981
638	0.8817661067	0.2735860985
639	0.8818304692	0.273487511
640	0.8819270129	0.2733912575
641	0.8819270129	0.2732756864
642	0.8819591942	0.2731917515
643	0.8820879192	0.2731697459
644	0.8820879192	0.2730933747
645	0.8821522817	0.2730603741
646	0.8821201004	0.2730101468
647	0.8821844629	0.2729381232
648	0.8822488254	0.272859833
649	0.8821844629	0.272720756
650	0.8825062753	0.2726750805
651	0.8825706378	0.2726206612
652	0.8825706378	0.2725424751
653	0.8825384566	0.2724849621
654	0.8825706378	0.2723680887
655	0.8826350003	0.2722501139
656	0.8827959065	0.2721444838
657	0.8827959065	0.2720569129
658	0.882860269	0.2720216504
659	0.8829246315	0.2719694654
660	0.8829568128	0.2719072643
661	0.8829246315	0.2718936529
662	0.8829568128	0.2718329181
663	0.8830211753	0.2718037503
664	0.8829246315	0.2717824388
665	0.8828924503	0.2716982798
666	0.8828924503	0.2716529934
667	0.8829568128	0.2716003658
668	0.8828924503	0.2715101378
669	0.882860269	0.2714946251
670	0.8830211753	0.2714198343
671	0.8831499002	0.2713369942
672	0.8831499002	0.2712819744
673	0.883246444	0.2712671906
674	0.8832786252	0.2712116081
675	0.8832786252	0.2711732123
676	0.8833429877	0.271094001
677	0.8833429877	0.2710009733
678	0.8836969814	0.2708217179
679	0.8837291626	0.2707715916
680	0.8837291626	0.2707117922
681	0.8837935251	0.2706292421
682	0.8837613439	0.2705925781
683	0.8839544314	0.2704845101
684	0.8841153376	0.2703905818
685	0.8840187938	0.2703041897
686	0.8840187938	0.2702199265
687	0.8841797001	0.2701556117
688	0.8844049688	0.2700749778
689	0.8844693313	0.2699893484
690	0.8844049688	0.2699743064
691	0.8845015125	0.2699395054
692	0.884565875	0.2698374307
693	0.8846946	0.2697632029
694	0.8847911437	0.26971761
695	0.8847267812	0.2696268728
696	0.8847589625	0.2695650089
697	0.8847911437	0.2695506061
698	0.8846302375	0.2694855839
699	0.8846302375	0.2693900277
700	0.8846946	0.2692811726
701	0.8846624187	0.2692117611
702	0.8847267812	0.2691811911
703	0.8847589625	0.2691283232
704	0.8848555062	0.2690212656
705	0.8848555062	0.2689628206
706	0.8850807749	0.2688705606
707	0.8851451374	0.2687553439
708	0.8850807749	0.2686770386
709	0.8851129562	0.2686482454
710	0.8851129562	0.2685831219
711	0.8851129562	0.2685424181
712	0.8851773187	0.2685158103
713	0.8853060436	0.2684538718
714	0.8852094999	0.2683655053
715	0.8853060436	0.2682921775
716	0.8853060436	0.2682512521
717	0.8856600373	0.2681046821
718	0.8855313124	0.2680053291
719	0.8855313124	0.2680030964
720	0.8856278561	0.267926324
721	0.8856278561	0.267891919
722	0.8857887623	0.2678099819
723	0.8858209436	0.2677070166
724	0.8857887623	0.2676180734
725	0.8859496685	0.2675619138
726	0.885885306	0.2675005473
727	0.886014031	0.2674044922
728	0.8860783935	0.2673519476
729	0.8860462123	0.2673076805
730	0.8860462123	0.2672158558
731	0.886142756	0.2671854077
732	0.886142756	0.2670626765
733	0.8861749372	0.2670055278
734	0.8862071185	0.2669048055
735	0.8863036622	0.2668334721
736	0.886400206	0.266798548
737	0.886400206	0.2667003193
738	0.8863358435	0.2666605561
739	0.8863036622	0.2666194336
740	0.886400206	0.2665071581
741	0.8865611122	0.2664613268
742	0.8865611122	0.2664447062
743	0.8865611122	0.2663329157
744	0.8864967497	0.2662943709
745	0.8866254747	0.2662299082
746	0.8865932934	0.2661770606
747	0.8865932934	0.2660751413
748	0.8866254747	0.266058111
749	0.8867541997	0.266020087
750	0.8866576559	0.2659230601
751	0.8868829246	0.2658150782
752	0.8869151059	0.2657222369
753	0.8868507434	0.265682586
754	0.8870438309	0.2656366854
755	0.8870438309	0.2655899448
756	0.8871403746	0.2655584447
757	0.8872047371	0.2654910267
758	0.8872047371	0.2654048377
759	0.8872369183	0.265305443
760	0.8873012808	0.2652515098
761	0.8874943683	0.2651497682
762	0.8875265495	0.2650588183
763	0.887462187	0.2649959377
764	0.8875265495	0.2649462162
765	0.887590912	0.2648575962
766	0.8875587308	0.2647829225
767	0.8876552745	0.2647148766
768	0.8876552745	0.2647127267
769	0.8876874558	0.2645857935
770	0.8876552745	0.2645606398
771	0.8877518182	0.2645103101
772	0.887848362	0.2644938868
773	0.887848362	0.2644259894
774	0.8877839995	0.2643785539
775	0.8877518182	0.2643574206
776	0.887848362	0.264287384
777	0.8880092682	0.2642101528
778	0.887977087	0.2641045747
779	0.8881058119	0.2639862479
780	0.8882023557	0.2639224502
781	0.8882023557	0.2638574378
782	0.8884919869	0.2637888948
783	0.8884919869	0.2637836418
784	0.8886207118	0.2637214711
785	0.8886850743	0.2635947964
786	0.8886207118	0.263552052
787	0.8886528931	0.2635312138
788	0.8886850743	0.2634561242
789	0.8889747055	0.2633363947
790	0.8889425243	0.2633007869
791	0.8890712493	0.2632394183
792	0.8890712493	0.2631881574
793	0.889167793	0.2631340251
794	0.8891999743	0.263031685
795	0.889167793	0.2630152784
796	0.8891034305	0.2629705221
797	0.8890712493	0.2629084888
798	0.8890068868	0.2628469652
799	0.8891356118	0.2627445896
